circuit_type,num_qubits,ordering,step,pass_name,Circuit Depth,Gate Count,2Q Count,2Q Depth,status,error
DJ Circuit,5,ALL,0,Baseline (no optimization),19.0,43.0,7.0,7.0,success,
DJ Circuit,5,Order_A (Q-T-B-Q-T-B),1,Qiskit:Optimize1qGateDecomp,17.0,38.0,7.0,7.0,success,
DJ Circuit,5,Order_A (Q-T-B-Q-T-B),2,TKet:CliffordSimp,7.0,17.0,4.0,4.0,success,
DJ Circuit,5,Order_A (Q-T-B-Q-T-B),3,BQSKit:ScanningGateRemoval,4.0,7.0,4.0,4.0,success,
DJ Circuit,5,Order_A (Q-T-B-Q-T-B),4,Qiskit:CommutativeCancel,4.0,7.0,4.0,4.0,success,
DJ Circuit,5,Order_A (Q-T-B-Q-T-B),5,TKet:KAKDecomposition,4.0,4.0,4.0,4.0,success,
DJ Circuit,5,Order_A (Q-T-B-Q-T-B),6,BQSKit:GroupSingleQuditGate,4.0,4.0,4.0,4.0,success,
DJ Circuit,5,Order_B (T-B-Q-T-B-Q),1,TKet:CliffordSimp,7.0,17.0,4.0,4.0,success,
DJ Circuit,5,Order_B (T-B-Q-T-B-Q),2,BQSKit:ScanningGateRemoval,5.0,6.0,4.0,4.0,success,
DJ Circuit,5,Order_B (T-B-Q-T-B-Q),3,Qiskit:Optimize1qGateDecomp,4.0,4.0,4.0,4.0,success,
DJ Circuit,5,Order_B (T-B-Q-T-B-Q),4,TKet:KAKDecomposition,4.0,4.0,4.0,4.0,success,
DJ Circuit,5,Order_B (T-B-Q-T-B-Q),5,BQSKit:GroupSingleQuditGate,4.0,4.0,4.0,4.0,success,
DJ Circuit,5,Order_B (T-B-Q-T-B-Q),6,Qiskit:CommutativeCancel,4.0,4.0,4.0,4.0,success,
DJ Circuit,5,Order_C (B-Q-T-B-Q-T),1,BQSKit:ScanningGateRemoval,15.0,24.0,7.0,7.0,success,
DJ Circuit,5,Order_C (B-Q-T-B-Q-T),2,Qiskit:Optimize1qGateDecomp,14.0,20.0,7.0,7.0,success,
DJ Circuit,5,Order_C (B-Q-T-B-Q-T),3,TKet:CliffordSimp,6.0,13.0,4.0,4.0,success,
DJ Circuit,5,Order_C (B-Q-T-B-Q-T),4,BQSKit:GroupSingleQuditGate,6.0,13.0,4.0,4.0,success,
DJ Circuit,5,Order_C (B-Q-T-B-Q-T),5,Qiskit:CommutativeCancel,6.0,13.0,4.0,4.0,success,
DJ Circuit,5,Order_C (B-Q-T-B-Q-T),6,TKet:KAKDecomposition,4.0,4.0,4.0,4.0,success,
GHZ Circuit,5,ALL,0,Baseline (no optimization),8.0,12.0,4.0,4.0,success,
GHZ Circuit,5,Order_A (Q-T-B-Q-T-B),1,Qiskit:Optimize1qGateDecomp,8.0,12.0,4.0,4.0,success,
GHZ Circuit,5,Order_A (Q-T-B-Q-T-B),2,TKet:CliffordSimp,6.0,10.0,4.0,4.0,success,
GHZ Circuit,5,Order_A (Q-T-B-Q-T-B),3,BQSKit:ScanningGateRemoval,4.0,4.0,4.0,4.0,success,
GHZ Circuit,5,Order_A (Q-T-B-Q-T-B),4,Qiskit:CommutativeCancel,4.0,4.0,4.0,4.0,success,
GHZ Circuit,5,Order_A (Q-T-B-Q-T-B),5,TKet:KAKDecomposition,4.0,4.0,4.0,4.0,success,
GHZ Circuit,5,Order_A (Q-T-B-Q-T-B),6,BQSKit:GroupSingleQuditGate,4.0,4.0,4.0,4.0,success,
GHZ Circuit,5,Order_B (T-B-Q-T-B-Q),1,TKet:CliffordSimp,6.0,10.0,4.0,4.0,success,
GHZ Circuit,5,Order_B (T-B-Q-T-B-Q),2,BQSKit:ScanningGateRemoval,4.0,4.0,4.0,4.0,success,
GHZ Circuit,5,Order_B (T-B-Q-T-B-Q),3,Qiskit:Optimize1qGateDecomp,4.0,4.0,4.0,4.0,success,
GHZ Circuit,5,Order_B (T-B-Q-T-B-Q),4,TKet:KAKDecomposition,4.0,4.0,4.0,4.0,success,
GHZ Circuit,5,Order_B (T-B-Q-T-B-Q),5,BQSKit:GroupSingleQuditGate,4.0,4.0,4.0,4.0,success,
GHZ Circuit,5,Order_B (T-B-Q-T-B-Q),6,Qiskit:CommutativeCancel,4.0,4.0,4.0,4.0,success,
GHZ Circuit,5,Order_C (B-Q-T-B-Q-T),1,BQSKit:ScanningGateRemoval,5.0,5.0,4.0,4.0,success,
GHZ Circuit,5,Order_C (B-Q-T-B-Q-T),2,Qiskit:Optimize1qGateDecomp,5.0,5.0,4.0,4.0,success,
GHZ Circuit,5,Order_C (B-Q-T-B-Q-T),3,TKet:CliffordSimp,5.0,5.0,4.0,4.0,success,
GHZ Circuit,5,Order_C (B-Q-T-B-Q-T),4,BQSKit:GroupSingleQuditGate,5.0,5.0,4.0,4.0,success,
GHZ Circuit,5,Order_C (B-Q-T-B-Q-T),5,Qiskit:CommutativeCancel,5.0,5.0,4.0,4.0,success,
GHZ Circuit,5,Order_C (B-Q-T-B-Q-T),6,TKet:KAKDecomposition,4.0,4.0,4.0,4.0,success,
Grover Circuit,5,ALL,0,Baseline (no optimization),624.0,816.0,390.0,356.0,success,
Grover Circuit,5,Order_A (Q-T-B-Q-T-B),1,Qiskit:Optimize1qGateDecomp,551.0,720.0,390.0,356.0,success,
Grover Circuit,5,Order_A (Q-T-B-Q-T-B),2,TKet:CliffordSimp,266.0,359.0,164.0,143.0,success,
Grover Circuit,5,Order_A (Q-T-B-Q-T-B),3,BQSKit:ScanningGateRemoval,,,,,failed,"Worker subprocess failed with code 1
STDERR: Starting pass Scanning Gate Removal Pass
Server connection unexpectedly closed.
Traceback (most recent call last):
  File ""/Users/abhishekshringi/Documents"
Grover Circuit,5,Order_A (Q-T-B-Q-T-B),4,Qiskit:CommutativeCancel,266.0,359.0,164.0,143.0,success,
Grover Circuit,5,Order_A (Q-T-B-Q-T-B),5,TKet:KAKDecomposition,266.0,359.0,164.0,143.0,success,
Grover Circuit,5,Order_A (Q-T-B-Q-T-B),6,BQSKit:GroupSingleQuditGate,265.0,354.0,164.0,143.0,success,
Grover Circuit,5,Order_B (T-B-Q-T-B-Q),1,TKet:CliffordSimp,266.0,359.0,164.0,143.0,success,
Grover Circuit,5,Order_B (T-B-Q-T-B-Q),2,BQSKit:ScanningGateRemoval,,,,,failed,"Worker subprocess failed with code 1
STDERR: Starting pass Scanning Gate Removal Pass
Server connection unexpectedly closed.
Traceback (most recent call last):
  File ""/Users/abhishekshringi/Documents"
Grover Circuit,5,Order_B (T-B-Q-T-B-Q),3,Qiskit:Optimize1qGateDecomp,379.0,535.0,164.0,143.0,success,
Grover Circuit,5,Order_B (T-B-Q-T-B-Q),4,TKet:KAKDecomposition,379.0,535.0,164.0,143.0,success,
Grover Circuit,5,Order_B (T-B-Q-T-B-Q),5,BQSKit:GroupSingleQuditGate,378.0,530.0,164.0,143.0,success,
Grover Circuit,5,Order_B (T-B-Q-T-B-Q),6,Qiskit:CommutativeCancel,378.0,530.0,164.0,143.0,success,
Grover Circuit,5,Order_C (B-Q-T-B-Q-T),1,BQSKit:ScanningGateRemoval,,,,,failed,"Worker subprocess failed with code 1
STDERR: Starting pass Scanning Gate Removal Pass
Server connection unexpectedly closed.
Traceback (most recent call last):
  File ""/Users/abhishekshringi/Documents"
Grover Circuit,5,Order_C (B-Q-T-B-Q-T),2,Qiskit:Optimize1qGateDecomp,551.0,720.0,390.0,356.0,success,
Grover Circuit,5,Order_C (B-Q-T-B-Q-T),3,TKet:CliffordSimp,266.0,359.0,164.0,143.0,success,
Grover Circuit,5,Order_C (B-Q-T-B-Q-T),4,BQSKit:GroupSingleQuditGate,265.0,354.0,164.0,143.0,success,
Grover Circuit,5,Order_C (B-Q-T-B-Q-T),5,Qiskit:CommutativeCancel,265.0,354.0,164.0,143.0,success,
Grover Circuit,5,Order_C (B-Q-T-B-Q-T),6,TKet:KAKDecomposition,265.0,354.0,164.0,143.0,success,
QFT Circuit,5,ALL,0,Baseline (no optimization),53.0,82.0,32.0,28.0,success,
QFT Circuit,5,Order_A (Q-T-B-Q-T-B),1,Qiskit:Optimize1qGateDecomp,51.0,76.0,32.0,28.0,success,
QFT Circuit,5,Order_A (Q-T-B-Q-T-B),2,TKet:CliffordSimp,35.0,53.0,20.0,18.0,success,
QFT Circuit,5,Order_A (Q-T-B-Q-T-B),3,BQSKit:ScanningGateRemoval,21.0,24.0,20.0,18.0,success,
QFT Circuit,5,Order_A (Q-T-B-Q-T-B),4,Qiskit:CommutativeCancel,7.0,8.0,4.0,4.0,success,
QFT Circuit,5,Order_A (Q-T-B-Q-T-B),5,TKet:KAKDecomposition,2.0,2.0,2.0,2.0,success,
QFT Circuit,5,Order_A (Q-T-B-Q-T-B),6,BQSKit:GroupSingleQuditGate,2.0,2.0,2.0,2.0,success,
QFT Circuit,5,Order_B (T-B-Q-T-B-Q),1,TKet:CliffordSimp,35.0,53.0,20.0,18.0,success,
QFT Circuit,5,Order_B (T-B-Q-T-B-Q),2,BQSKit:ScanningGateRemoval,21.0,25.0,20.0,18.0,success,
QFT Circuit,5,Order_B (T-B-Q-T-B-Q),3,Qiskit:Optimize1qGateDecomp,18.0,20.0,20.0,18.0,success,
QFT Circuit,5,Order_B (T-B-Q-T-B-Q),4,TKet:KAKDecomposition,4.0,4.0,4.0,4.0,success,
QFT Circuit,5,Order_B (T-B-Q-T-B-Q),5,BQSKit:GroupSingleQuditGate,4.0,4.0,4.0,4.0,success,
QFT Circuit,5,Order_B (T-B-Q-T-B-Q),6,Qiskit:CommutativeCancel,0.0,0.0,0.0,0.0,success,
QFT Circuit,5,Order_C (B-Q-T-B-Q-T),1,BQSKit:ScanningGateRemoval,30.0,37.0,32.0,28.0,success,
QFT Circuit,5,Order_C (B-Q-T-B-Q-T),2,Qiskit:Optimize1qGateDecomp,30.0,37.0,32.0,28.0,success,
QFT Circuit,5,Order_C (B-Q-T-B-Q-T),3,TKet:CliffordSimp,1.0,5.0,0.0,0.0,success,
QFT Circuit,5,Order_C (B-Q-T-B-Q-T),4,BQSKit:GroupSingleQuditGate,1.0,5.0,0.0,0.0,success,
QFT Circuit,5,Order_C (B-Q-T-B-Q-T),5,Qiskit:CommutativeCancel,1.0,5.0,0.0,0.0,success,
QFT Circuit,5,Order_C (B-Q-T-B-Q-T),6,TKet:KAKDecomposition,0.0,0.0,0.0,0.0,success,
Amplitude Estimation Circuit,5,ALL,0,Baseline (no optimization),245.0,301.0,54.0,54.0,success,
Amplitude Estimation Circuit,5,Order_A (Q-T-B-Q-T-B),1,Qiskit:Optimize1qGateDecomp,199.0,225.0,54.0,54.0,success,
Amplitude Estimation Circuit,5,Order_A (Q-T-B-Q-T-B),2,TKet:CliffordSimp,82.0,104.0,42.0,40.0,success,
Amplitude Estimation Circuit,5,Order_A (Q-T-B-Q-T-B),3,BQSKit:ScanningGateRemoval,38.0,43.0,27.0,25.0,success,
Amplitude Estimation Circuit,5,Order_A (Q-T-B-Q-T-B),4,Qiskit:CommutativeCancel,23.0,25.0,9.0,9.0,success,
Amplitude Estimation Circuit,5,Order_A (Q-T-B-Q-T-B),5,TKet:KAKDecomposition,3.0,5.0,1.0,1.0,success,
Amplitude Estimation Circuit,5,Order_A (Q-T-B-Q-T-B),6,BQSKit:GroupSingleQuditGate,3.0,5.0,1.0,1.0,success,
Amplitude Estimation Circuit,5,Order_B (T-B-Q-T-B-Q),1,TKet:CliffordSimp,82.0,104.0,42.0,40.0,success,
Amplitude Estimation Circuit,5,Order_B (T-B-Q-T-B-Q),2,BQSKit:ScanningGateRemoval,46.0,56.0,29.0,27.0,success,
Amplitude Estimation Circuit,5,Order_B (T-B-Q-T-B-Q),3,Qiskit:Optimize1qGateDecomp,27.0,29.0,29.0,27.0,success,
Amplitude Estimation Circuit,5,Order_B (T-B-Q-T-B-Q),4,TKet:KAKDecomposition,3.0,5.0,1.0,1.0,success,
Amplitude Estimation Circuit,5,Order_B (T-B-Q-T-B-Q),5,BQSKit:GroupSingleQuditGate,3.0,5.0,1.0,1.0,success,
Amplitude Estimation Circuit,5,Order_B (T-B-Q-T-B-Q),6,Qiskit:CommutativeCancel,3.0,5.0,1.0,1.0,success,
Amplitude Estimation Circuit,5,Order_C (B-Q-T-B-Q-T),1,BQSKit:ScanningGateRemoval,,,,,failed,"Worker subprocess failed with code 1
STDERR: Starting pass Scanning Gate Removal Pass
Server connection unexpectedly closed.
Traceback (most recent call last):
  File ""/Users/abhishekshringi/Documents"
Amplitude Estimation Circuit,5,Order_C (B-Q-T-B-Q-T),2,Qiskit:Optimize1qGateDecomp,199.0,225.0,54.0,54.0,success,
Amplitude Estimation Circuit,5,Order_C (B-Q-T-B-Q-T),3,TKet:CliffordSimp,82.0,104.0,42.0,40.0,success,
Amplitude Estimation Circuit,5,Order_C (B-Q-T-B-Q-T),4,BQSKit:GroupSingleQuditGate,81.0,99.0,42.0,40.0,success,
Amplitude Estimation Circuit,5,Order_C (B-Q-T-B-Q-T),5,Qiskit:CommutativeCancel,81.0,99.0,42.0,40.0,success,
Amplitude Estimation Circuit,5,Order_C (B-Q-T-B-Q-T),6,TKet:KAKDecomposition,0.0,0.0,0.0,0.0,success,
Quantum Phase Estimation Circuit,5,ALL,0,Baseline (no optimization),68.0,91.0,32.0,32.0,success,
Quantum Phase Estimation Circuit,5,Order_A (Q-T-B-Q-T-B),1,Qiskit:Optimize1qGateDecomp,67.0,90.0,32.0,32.0,success,
Quantum Phase Estimation Circuit,5,Order_A (Q-T-B-Q-T-B),2,TKet:CliffordSimp,34.0,53.0,19.0,17.0,success,
Quantum Phase Estimation Circuit,5,Order_A (Q-T-B-Q-T-B),3,BQSKit:ScanningGateRemoval,19.0,23.0,19.0,17.0,success,
Quantum Phase Estimation Circuit,5,Order_A (Q-T-B-Q-T-B),4,Qiskit:CommutativeCancel,5.0,7.0,3.0,3.0,success,
Quantum Phase Estimation Circuit,5,Order_A (Q-T-B-Q-T-B),5,TKet:KAKDecomposition,1.0,1.0,1.0,1.0,success,
Quantum Phase Estimation Circuit,5,Order_A (Q-T-B-Q-T-B),6,BQSKit:GroupSingleQuditGate,1.0,1.0,1.0,1.0,success,
Quantum Phase Estimation Circuit,5,Order_B (T-B-Q-T-B-Q),1,TKet:CliffordSimp,34.0,53.0,19.0,17.0,success,
Quantum Phase Estimation Circuit,5,Order_B (T-B-Q-T-B-Q),2,BQSKit:ScanningGateRemoval,24.0,28.0,19.0,17.0,success,
Quantum Phase Estimation Circuit,5,Order_B (T-B-Q-T-B-Q),3,Qiskit:Optimize1qGateDecomp,17.0,19.0,19.0,17.0,success,
Quantum Phase Estimation Circuit,5,Order_B (T-B-Q-T-B-Q),4,TKet:KAKDecomposition,1.0,1.0,1.0,1.0,success,
Quantum Phase Estimation Circuit,5,Order_B (T-B-Q-T-B-Q),5,BQSKit:GroupSingleQuditGate,1.0,1.0,1.0,1.0,success,
Quantum Phase Estimation Circuit,5,Order_B (T-B-Q-T-B-Q),6,Qiskit:CommutativeCancel,1.0,1.0,1.0,1.0,success,
Quantum Phase Estimation Circuit,5,Order_C (B-Q-T-B-Q-T),1,BQSKit:ScanningGateRemoval,37.0,41.0,32.0,32.0,success,
Quantum Phase Estimation Circuit,5,Order_C (B-Q-T-B-Q-T),2,Qiskit:Optimize1qGateDecomp,37.0,41.0,32.0,32.0,success,
Quantum Phase Estimation Circuit,5,Order_C (B-Q-T-B-Q-T),3,TKet:CliffordSimp,1.0,5.0,0.0,0.0,success,
Quantum Phase Estimation Circuit,5,Order_C (B-Q-T-B-Q-T),4,BQSKit:GroupSingleQuditGate,1.0,5.0,0.0,0.0,success,
Quantum Phase Estimation Circuit,5,Order_C (B-Q-T-B-Q-T),5,Qiskit:CommutativeCancel,1.0,5.0,0.0,0.0,success,
Quantum Phase Estimation Circuit,5,Order_C (B-Q-T-B-Q-T),6,TKet:KAKDecomposition,0.0,0.0,0.0,0.0,success,
W State Circuit,5,ALL,0,Baseline (no optimization),46.0,78.0,8.0,6.0,success,
W State Circuit,5,Order_A (Q-T-B-Q-T-B),1,Qiskit:Optimize1qGateDecomp,21.0,38.0,8.0,6.0,success,
W State Circuit,5,Order_A (Q-T-B-Q-T-B),2,TKet:CliffordSimp,11.0,22.0,8.0,6.0,success,
W State Circuit,5,Order_A (Q-T-B-Q-T-B),3,BQSKit:ScanningGateRemoval,7.0,10.0,8.0,6.0,success,
W State Circuit,5,Order_A (Q-T-B-Q-T-B),4,Qiskit:CommutativeCancel,7.0,10.0,8.0,6.0,success,
W State Circuit,5,Order_A (Q-T-B-Q-T-B),5,TKet:KAKDecomposition,6.0,8.0,8.0,6.0,success,
W State Circuit,5,Order_A (Q-T-B-Q-T-B),6,BQSKit:GroupSingleQuditGate,6.0,8.0,8.0,6.0,success,
W State Circuit,5,Order_B (T-B-Q-T-B-Q),1,TKet:CliffordSimp,11.0,22.0,8.0,6.0,success,
W State Circuit,5,Order_B (T-B-Q-T-B-Q),2,BQSKit:ScanningGateRemoval,9.0,12.0,8.0,6.0,success,
W State Circuit,5,Order_B (T-B-Q-T-B-Q),3,Qiskit:Optimize1qGateDecomp,6.0,8.0,8.0,6.0,success,
W State Circuit,5,Order_B (T-B-Q-T-B-Q),4,TKet:KAKDecomposition,6.0,8.0,8.0,6.0,success,
W State Circuit,5,Order_B (T-B-Q-T-B-Q),5,BQSKit:GroupSingleQuditGate,6.0,8.0,8.0,6.0,success,
W State Circuit,5,Order_B (T-B-Q-T-B-Q),6,Qiskit:CommutativeCancel,6.0,8.0,8.0,6.0,success,
W State Circuit,5,Order_C (B-Q-T-B-Q-T),1,BQSKit:ScanningGateRemoval,20.0,34.0,8.0,6.0,success,
W State Circuit,5,Order_C (B-Q-T-B-Q-T),2,Qiskit:Optimize1qGateDecomp,20.0,33.0,8.0,6.0,success,
W State Circuit,5,Order_C (B-Q-T-B-Q-T),3,TKet:CliffordSimp,5.0,9.0,4.0,4.0,success,
W State Circuit,5,Order_C (B-Q-T-B-Q-T),4,BQSKit:GroupSingleQuditGate,5.0,9.0,4.0,4.0,success,
W State Circuit,5,Order_C (B-Q-T-B-Q-T),5,Qiskit:CommutativeCancel,5.0,9.0,4.0,4.0,success,
W State Circuit,5,Order_C (B-Q-T-B-Q-T),6,TKet:KAKDecomposition,4.0,4.0,4.0,4.0,success,
Half Adder Circuit,5,ALL,0,Baseline (no optimization),58.0,72.0,34.0,33.0,success,
Half Adder Circuit,5,Order_A (Q-T-B-Q-T-B),1,Qiskit:Optimize1qGateDecomp,58.0,72.0,34.0,33.0,success,
Half Adder Circuit,5,Order_A (Q-T-B-Q-T-B),2,TKet:CliffordSimp,29.0,47.0,19.0,15.0,success,
Half Adder Circuit,5,Order_A (Q-T-B-Q-T-B),3,BQSKit:ScanningGateRemoval,,,,,failed,"Worker subprocess failed with code 1
STDERR: Starting pass Scanning Gate Removal Pass
Server connection unexpectedly closed.
Traceback (most recent call last):
  File ""/Users/abhishekshringi/Documents"
Half Adder Circuit,5,Order_A (Q-T-B-Q-T-B),4,Qiskit:CommutativeCancel,29.0,47.0,19.0,15.0,success,
Half Adder Circuit,5,Order_A (Q-T-B-Q-T-B),5,TKet:KAKDecomposition,29.0,47.0,19.0,15.0,success,
Half Adder Circuit,5,Order_A (Q-T-B-Q-T-B),6,BQSKit:GroupSingleQuditGate,28.0,42.0,19.0,15.0,success,
Half Adder Circuit,5,Order_B (T-B-Q-T-B-Q),1,TKet:CliffordSimp,29.0,47.0,19.0,15.0,success,
Half Adder Circuit,5,Order_B (T-B-Q-T-B-Q),2,BQSKit:ScanningGateRemoval,,,,,failed,"Worker subprocess failed with code 1
STDERR: Starting pass Scanning Gate Removal Pass
Server connection unexpectedly closed.
Traceback (most recent call last):
  File ""/Users/abhishekshringi/Documents"
Half Adder Circuit,5,Order_B (T-B-Q-T-B-Q),3,Qiskit:Optimize1qGateDecomp,35.0,57.0,19.0,15.0,success,
Half Adder Circuit,5,Order_B (T-B-Q-T-B-Q),4,TKet:KAKDecomposition,35.0,57.0,19.0,15.0,success,
Half Adder Circuit,5,Order_B (T-B-Q-T-B-Q),5,BQSKit:GroupSingleQuditGate,34.0,52.0,19.0,15.0,success,
Half Adder Circuit,5,Order_B (T-B-Q-T-B-Q),6,Qiskit:CommutativeCancel,34.0,52.0,19.0,15.0,success,
Half Adder Circuit,5,Order_C (B-Q-T-B-Q-T),1,BQSKit:ScanningGateRemoval,,,,,failed,"Worker subprocess failed with code 1
STDERR: Starting pass Scanning Gate Removal Pass
Server connection unexpectedly closed.
Traceback (most recent call last):
  File ""/Users/abhishekshringi/Documents"
Half Adder Circuit,5,Order_C (B-Q-T-B-Q-T),2,Qiskit:Optimize1qGateDecomp,58.0,72.0,34.0,33.0,success,
Half Adder Circuit,5,Order_C (B-Q-T-B-Q-T),3,TKet:CliffordSimp,29.0,47.0,19.0,15.0,success,
Half Adder Circuit,5,Order_C (B-Q-T-B-Q-T),4,BQSKit:GroupSingleQuditGate,28.0,42.0,19.0,15.0,success,
Half Adder Circuit,5,Order_C (B-Q-T-B-Q-T),5,Qiskit:CommutativeCancel,28.0,42.0,19.0,15.0,success,
Half Adder Circuit,5,Order_C (B-Q-T-B-Q-T),6,TKet:KAKDecomposition,28.0,42.0,19.0,15.0,success,
BV Circuit,5,ALL,0,Baseline (no optimization),16.0,31.0,2.0,2.0,success,
BV Circuit,5,Order_A (Q-T-B-Q-T-B),1,Qiskit:Optimize1qGateDecomp,9.0,24.0,2.0,2.0,success,
BV Circuit,5,Order_A (Q-T-B-Q-T-B),2,TKet:CliffordSimp,5.0,12.0,2.0,2.0,success,
BV Circuit,5,Order_A (Q-T-B-Q-T-B),3,BQSKit:ScanningGateRemoval,,,,,failed,"Worker subprocess failed with code 1
STDERR: Starting pass Scanning Gate Removal Pass
Server connection unexpectedly closed.
Traceback (most recent call last):
  File ""/Users/abhishekshringi/Documents"
BV Circuit,5,Order_A (Q-T-B-Q-T-B),4,Qiskit:CommutativeCancel,5.0,12.0,2.0,2.0,success,
BV Circuit,5,Order_A (Q-T-B-Q-T-B),5,TKet:KAKDecomposition,5.0,12.0,2.0,2.0,success,
BV Circuit,5,Order_A (Q-T-B-Q-T-B),6,BQSKit:GroupSingleQuditGate,4.0,8.0,2.0,2.0,success,
BV Circuit,5,Order_B (T-B-Q-T-B-Q),1,TKet:CliffordSimp,5.0,12.0,2.0,2.0,success,
BV Circuit,5,Order_B (T-B-Q-T-B-Q),2,BQSKit:ScanningGateRemoval,,,,,failed,"Worker subprocess failed with code 1
STDERR: Starting pass Scanning Gate Removal Pass
Server connection unexpectedly closed.
Traceback (most recent call last):
  File ""/Users/abhishekshringi/Documents"
BV Circuit,5,Order_B (T-B-Q-T-B-Q),3,Qiskit:Optimize1qGateDecomp,8.0,22.0,2.0,2.0,success,
BV Circuit,5,Order_B (T-B-Q-T-B-Q),4,TKet:KAKDecomposition,8.0,22.0,2.0,2.0,success,
BV Circuit,5,Order_B (T-B-Q-T-B-Q),5,BQSKit:GroupSingleQuditGate,8.0,18.0,2.0,2.0,success,
BV Circuit,5,Order_B (T-B-Q-T-B-Q),6,Qiskit:CommutativeCancel,8.0,18.0,2.0,2.0,success,
BV Circuit,5,Order_C (B-Q-T-B-Q-T),1,BQSKit:ScanningGateRemoval,,,,,failed,"Worker subprocess failed with code 1
STDERR: Starting pass Scanning Gate Removal Pass
Server connection unexpectedly closed.
Traceback (most recent call last):
  File ""/Users/abhishekshringi/Documents"
BV Circuit,5,Order_C (B-Q-T-B-Q-T),2,Qiskit:Optimize1qGateDecomp,9.0,24.0,2.0,2.0,success,
BV Circuit,5,Order_C (B-Q-T-B-Q-T),3,TKet:CliffordSimp,5.0,12.0,2.0,2.0,success,
BV Circuit,5,Order_C (B-Q-T-B-Q-T),4,BQSKit:GroupSingleQuditGate,4.0,8.0,2.0,2.0,success,
BV Circuit,5,Order_C (B-Q-T-B-Q-T),5,Qiskit:CommutativeCancel,4.0,8.0,2.0,2.0,success,
BV Circuit,5,Order_C (B-Q-T-B-Q-T),6,TKet:KAKDecomposition,4.0,8.0,2.0,2.0,success,
Graph State Circuit,5,ALL,0,Baseline (no optimization),29.0,61.0,11.0,7.0,success,
Graph State Circuit,5,Order_A (Q-T-B-Q-T-B),1,Qiskit:Optimize1qGateDecomp,23.0,37.0,11.0,7.0,success,
Graph State Circuit,5,Order_A (Q-T-B-Q-T-B),2,TKet:CliffordSimp,8.0,15.0,5.0,4.0,success,
Graph State Circuit,5,Order_A (Q-T-B-Q-T-B),3,BQSKit:ScanningGateRemoval,6.0,8.0,5.0,4.0,success,
Graph State Circuit,5,Order_A (Q-T-B-Q-T-B),4,Qiskit:CommutativeCancel,6.0,8.0,5.0,4.0,success,
Graph State Circuit,5,Order_A (Q-T-B-Q-T-B),5,TKet:KAKDecomposition,4.0,5.0,5.0,4.0,success,
Graph State Circuit,5,Order_A (Q-T-B-Q-T-B),6,BQSKit:GroupSingleQuditGate,4.0,5.0,5.0,4.0,success,
